"","Gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID"
"7737","NSMF",889.541268917292,-0.0187913892959618,0.268564725489034,-0.0699696851913229,0.944217788194988,0.999993603917205,"26012"
"7738","NSRP1",457.023365692179,0.129594811861493,0.245221628213814,0.528480349818477,0.597165982132642,0.999993603917205,"84081"
"7739","NSUN2",1557.47049326731,-0.0618008134112955,0.24771902029393,-0.249479484207414,0.802989908530326,0.999993603917205,"54888"
"7740","NSUN3",282.857521278188,-0.546149665841162,0.333525951359776,-1.63750275987378,0.101525462747293,0.999993603917205,"63899"
"7741","NSUN4",294.836149814112,-0.176030386279588,0.271859003796818,-0.647506184533618,0.517304393168827,0.999993603917205,"387338"
"7742","NSUN5",433.148376469322,-0.0264581158675491,0.271962640781529,-0.0972858470248609,0.922499395121846,0.999993603917205,"55695"
"7743","NSUN6",349.33969818009,-0.246389271773467,0.299545522029148,-0.822543665832173,0.410767545476997,0.999993603917205,"221078"
"7744","NT5C",165.057585795728,0.638681867689669,0.683903528729808,0.933877134507366,0.35036727488759,0.999993603917205,"30833"
"7745","NT5C1B",8.31013349739353,-0.0581581715021533,1.03746795197214,-0.0560578005244399,0.955295761347881,0.999993603917205,"93034"
"7746","NT5C2",693.80758674746,-0.14097346856718,0.234525409006006,-0.601101045573998,0.547772687027831,0.999993603917205,"22978"
"7747","NT5C3A",702.361679527618,-0.223458517726653,0.276497900313703,-0.808174374825728,0.418990207124417,0.999993603917205,"51251"
"7748","NT5C3B",255.511222424626,0.0169055375946799,0.309166579658558,0.0546809995224913,0.956392606896486,0.999993603917205,"115024"
"7749","NT5DC1",607.93893154079,-0.00826823438576206,0.251074937775868,-0.0329313409733592,0.973729339861179,0.999993603917205,"221294"
"7750","NT5DC2",370.277521541619,0.186422834468768,0.407200831172219,0.457815456643613,0.647085030163632,0.999993603917205,"64943"
"7751","NT5DC3",45.9665595787934,0.165941855310995,0.495407729419656,0.334960166054306,0.737655135003994,0.999993603917205,"51559"
"7752","NT5DC4",2.5352078209972,0.728691555916235,2.99059145764289,0.243661351353745,0.807493108425772,0.999993603917205,"284958"
"7753","NT5E",17.1443739011732,-0.245033360373127,0.900058871414583,-0.272241481257797,0.785436348462201,0.999993603917205,"4907"
"7754","NT5M",30.2380606455553,1.35775962494369,0.73498890175006,1.84731990062812,0.0647007903893208,0.999993603917205,"56953"
"7755","NTAN1",550.657948197215,-0.201059750220143,0.339881108207054,-0.591559063934965,0.554145892892744,0.999993603917205,"123803"
"7756","NTHL1",103.667707362382,0.213322487580966,0.476719364103869,0.447480223468511,0.654528363886928,0.999993603917205,"4913"
"7757","NTMT1",114.688872638921,0.240928718305654,0.466981123345929,0.515928174097048,0.605904575562467,0.999993603917205,"28989"
"7758","NTN1",12.0382300805979,0.888491970244675,1.01258374556445,0.877450358191752,0.380242070930061,0.999993603917205,"9423"
"7759","NTN3",4.78607195517438,0.613144114884155,1.48332091791312,0.413359042860925,0.679343577513865,0.999993603917205,"4917"
"7760","NTN4",199.074151061502,-0.0885348589850064,0.601272204821234,-0.147245886763265,0.882937942894414,0.999993603917205,"59277"
"7761","NTN5",18.1077352445535,0.0636078090478761,0.887498230512005,0.0716709136548702,0.94286380415695,0.999993603917205,"126147"
"7762","NTNG2",426.961201367358,0.0755472789041201,0.367160212418515,0.205761072003101,0.836977550532181,0.999993603917205,"84628"
"7763","NTPCR",321.184419848513,-0.0758167634083604,0.272207239663703,-0.278525888958823,0.780608694454029,0.999993603917205,"84284"
"7764","NTRK1",68.298906088945,0.189969106939762,0.406936271332512,0.466827659077204,0.640623185297013,0.999993603917205,"4914"
"7765","NTRK2",139.786805584553,-0.0539344516212546,1.41610903995392,-0.0380863691280509,0.969618819285744,0.999993603917205,"4915"
"7766","NTSR1",2.33121499359323,0.543221336704048,2.21415149269607,0.245340636580649,0.80619268956709,0.999993603917205,"4923"
"7767","NUAK1",1.29934424767052,3.81570795369724,3.94078354059244,0.968261239013297,0.33291391762155,0.999993603917205,"9891"
"7768","NUAK2",30.9771985577486,0.484520470689358,0.563429243610885,0.859949099525223,0.389817101317003,0.999993603917205,"81788"
"7769","NUB1",2124.90959502352,0.0639735564269187,0.198315528888439,0.322584705219462,0.747009778452425,0.999993603917205,"51667"
"7770","NUBP1",140.859602596231,0.341659563039524,0.360662285248866,0.947311590408656,0.343480026475054,0.999993603917205,"4682"
"7771","NUBP2",611.713864087768,0.0281235997190914,0.293535486681654,0.0958098798786536,0.923671570452765,0.999993603917205,"10101"
"7772","NUBPL",105.341373440289,-0.113965762565502,0.497279845811634,-0.229178325897148,0.818730317733794,0.999993603917205,"80224"
"7773","NUCB1",2861.03792770564,0.165236689028153,0.313558469083356,0.526972495787466,0.598212688518528,0.999993603917205,"4924"
"7774","NUCB2",1145.3315505756,0.083361732958947,0.467162607882923,0.178442648346202,0.858375358193017,0.999993603917205,"4925"
"7775","NUCKS1",3684.94489998232,-0.124460510569706,0.238876357308309,-0.52102481791059,0.602349482770078,0.999993603917205,"64710"
"7776","NUDC",686.788026150301,0.59773915632163,0.406582107230123,1.47015607842111,0.141519487157997,0.999993603917205,"10726"
"7777","NUDCD1",309.111363632602,-0.169231635642024,0.367964276164822,-0.459913221484087,0.645578509677506,0.999993603917205,"84955"
"7778","NUDCD2",497.834912298424,0.112081721394125,0.24524016186638,0.457028410604268,0.647650624986262,0.999993603917205,"134492"
"7779","NUDCD3",1037.43964849422,0.0359799170274323,0.309514287412932,0.116246385031753,0.90745727597239,0.999993603917205,"23386"
"7780","NUDT1",168.691071799966,0.770952715598435,0.531696190036185,1.44998728605892,0.147062064675991,0.999993603917205,"4521"
"7781","NUDT10",1.40627974714697,-1.01946947934708,2.97419474441462,-0.342771595996392,0.731770295946156,0.999993603917205,"170685"
"7782","NUDT11",5.22862069397411,0.446458235094272,1.8162732181087,0.245810063509703,0.805829266487783,0.999993603917205,"55190"
